Location,Longitude,Latitude,MAE,Order
DH3,-158.08463,21.31236,0.07679268945818361,-96.7125995952774
DH4,-158.08505,21.313029999999998,0.0775749320698821,-96.7124228185821
DH5,-158.08424,21.313570000000002,0.08068240948777268,-96.71146822442749
DH10,-158.08553999999998,21.31183,0.07136599746087323,-96.71361782904229
DH11,-158.0853,21.31042,0.06749809068398199,-96.71444514397628
DH9,-158.08688,21.31268,0.07095343993841738,-96.71396431136509
DH2,-158.08534,21.314510000000002,0.08160175220257994,-96.71158136151249
DH1,-158.08700000000002,21.31533,0.08240302864624106,-96.7121753312087
AP6,-158.07935,21.308120000000002,0.09513498213412105,-96.71186420422495
AP1,-158.08389,21.31276,0.07584807311279186,-96.71179349354684
AP5,-158.08248999999998,21.309829999999998,0.06912019517974577,-96.71287536692203
AP4,-158.07947,21.311410000000002,0.08816371816655864,-96.70962267572858
AP7,-158.07785,21.31478,0.09366644057674685,-96.70609421289048
DH6,-158.08678,21.31179,0.07179986044332601,-96.71452292572222
DH7,-158.08685,21.31418,0.07531625112329704,-96.71288243798986
DH8,-158.08675,21.31034,0.06757733983622081,-96.7155270173515
